Source URL,Target URL,Status,Include subdomains,Subpath matching,Preserve query string
https://www.shalomworship.com/song/jhoom-6876a2d750da5662f55a678d,https://www.shalomworship.com/song/jhoom-nations-of-worship-6876a2d750da5662f55a678d,301,false,false,true
https://www.shalomworship.com/song/bepanah-6877db6bc2e0826a7c940aba,https://www.shalomworship.com/song/bepanah-red-sea-films-6877db6bc2e0826a7c940aba,301,false,false,true
https://www.shalomworship.com/song/tujhse-pyaar-hai-687933e09ea6d1f40ee57c1a,https://www.shalomworship.com/song/tujhse-pyaar-hai-reenukumar-687933e09ea6d1f40ee57c1a,301,false,false,true
https://www.shalomworship.com/song/teri-daya-6888db6e89b30571380eb88f,https://www.shalomworship.com/song/teri-daya-folj-or-ankit-sajwan-ministries-6888db6e89b30571380eb88f,301,false,false,true
https://www.shalomworship.com/song/hamla-bol-688a6638043047aacbae40e2,https://www.shalomworship.com/song/hamla-bol-sheldon-bangera-688a6638043047aacbae40e2,301,false,false,true
https://www.shalomworship.com/song/bharosa-688a6bb4043047aacbae40fe,https://www.shalomworship.com/song/bharosa-reenukumar-688a6bb4043047aacbae40fe,301,false,false,true
https://www.shalomworship.com/song/khoya-rahunga-688baa575f4e0ccc84538ec4,https://www.shalomworship.com/song/khoya-rahunga-folj-or-ankit-sajwan-ministries-688baa575f4e0ccc84538ec4,301,false,false,true
https://www.shalomworship.com/song/yeshu-tere-anugrah-se-68924a03b445466d0b044dd1,https://www.shalomworship.com/song/yeshu-tere-anugrah-se-one-tribe-production-68924a03b445466d0b044dd1,301,false,false,true
https://www.shalomworship.com/song/anand-di-bharpoori-68937ab3ba495da24bd02c2f,https://www.shalomworship.com/song/anand-di-bharpoori-jaago-music-68937ab3ba495da24bd02c2f,301,false,false,true
https://www.shalomworship.com/song/desh-68982adb7e6295403882d0d3,https://www.shalomworship.com/song/desh-bridge-music-68982adb7e6295403882d0d3,301,false,false,true
https://www.shalomworship.com/song/sang-tere-68985efe7e6295403882d116,https://www.shalomworship.com/song/sang-tere-red-sea-films-68985efe7e6295403882d116,301,false,false,true
https://www.shalomworship.com/song/elshaddai-689cd54bd05617fc26d7406f,https://www.shalomworship.com/song/elshaddai-benny-joshua-ministries-689cd54bd05617fc26d7406f,301,false,false,true
https://www.shalomworship.com/song/haq-tala-689f3422debbb81d1d0908e1,https://www.shalomworship.com/song/haq-tala-glory-to-god-india-689f3422debbb81d1d0908e1,301,false,false,true
https://www.shalomworship.com/song/yahweh-68a0cb3601be06ac6c6018d6,https://www.shalomworship.com/song/yahweh-filadelfia-music-68a0cb3601be06ac6c6018d6,301,false,false,true
https://www.shalomworship.com/song/rooh-e-khuda-68a617248c33be2011ef51c0,https://www.shalomworship.com/song/rooh-e-khuda-red-sea-films-68a617248c33be2011ef51c0,301,false,false,true
https://www.shalomworship.com/song/nayi-baat-68ab41acea9b90f25706dda7,https://www.shalomworship.com/song/nayi-baat-bridge-music-68ab41acea9b90f25706dda7,301,false,false,true
https://www.shalomworship.com/song/tu-aaja-re-68b5bf865ef012a5bc447b09,https://www.shalomworship.com/song/tu-aaja-re-jaago-music-68b5bf865ef012a5bc447b09,301,false,false,true
https://www.shalomworship.com/song/jai-jai-naam-68b5ce8a5ef012a5bc447b4e,https://www.shalomworship.com/song/jai-jai-naam-sheldon-bangera-68b5ce8a5ef012a5bc447b4e,301,false,false,true
https://www.shalomworship.com/song/neer-enna-marakala-68b7389c11b570af5b3f5b3a,https://www.shalomworship.com/song/neer-enna-marakala-benny-joshua-ministries-68b7389c11b570af5b3f5b3a,301,false,false,true
https://www.shalomworship.com/song/mere-virudh-uthne-wali-68bdc53a850ece7960d28280,https://www.shalomworship.com/song/mere-virudh-uthne-wali-filadelfia-music-68bdc53a850ece7960d28280,301,false,false,true
https://www.shalomworship.com/song/stuti-ke-yogya-68c06f84e2b13eca6e512ee6,https://www.shalomworship.com/song/stuti-ke-yogya-jaago-music-68c06f84e2b13eca6e512ee6,301,false,false,true
https://www.shalomworship.com/song/mercy-68ceee43e4eb1228ea33244d,https://www.shalomworship.com/song/mercy-elevation-worship-68ceee43e4eb1228ea33244d,301,false,false,true
https://www.shalomworship.com/song/flowers-68d1a66c351f902cbbb36e1a,https://www.shalomworship.com/song/flowers-phil-wickham-68d1a66c351f902cbbb36e1a,301,false,false,true
https://www.shalomworship.com/song/wajood-68dace47bd814968aeec8b29,https://www.shalomworship.com/song/wajood-ranjit-jacob-abraham-68dace47bd814968aeec8b29,301,false,false,true
https://www.shalomworship.com/song/bedaar-peedhi-68e0e2f09646c56296459d1b,https://www.shalomworship.com/song/bedaar-peedhi-gather25-68e0e2f09646c56296459d1b,301,false,false,true
https://www.shalomworship.com/song/hallelujah-hosanna-68e16016687811d46e04dc36,https://www.shalomworship.com/song/hallelujah-hosanna-one-tribe-production-68e16016687811d46e04dc36,301,false,false,true
